Country,Latitude,Longitude,x,y
Benin,9.3077,2.3158,291286.0380155628,723266.4877446207
Burkina Faso,12.2383,-1.5616,-168834.59814296186,1387466.1267034998
Cabo Verde,16.5388,-23.0418,-2617863.395594981,1679598.1390266519
Cote d'Ivoire,7.54,-5.5471,-586282.6886177377,760624.3791171005
Gambia,13.4432,-15.3101,-1844192.9345817296,1511190.9113695102
Ghana,7.9465,-1.0232,-24119.260111706208,618791.6167022204
Guinea,9.9456,-9.6966,-1525077.023867848,1062414.311267536
Guinea-Bissau,11.8037,-15.1804,-1734728.6944220162,1328642.1717503814
Liberia,6.4280550000000005,-9.429499,-1202250.5005673547,702730.2547713689
Mali,17.570692,-3.9961660000000006,-890555.9263461886,1419773.515884513
Niger,17.607789,8.081666,235626.29261892606,1518822.5562537997
Nigeria,9.082,8.6753,838606.7935361641,1015414.406558607
Senegal,14.4974,-14.4524,-1962933.6505482271,1658486.7980352903
Sierra Leone,8.460555000000001,-11.779889,-1473127.891057823,947829.817121307
Togo,8.6195,0.8248,135438.7509049798,682201.2751228266
